Geneid	U1	U2	U3	M1	M2	M3	C1	C2	C3	G1	G2	G3
CDS:AF52_RS01070:soxR:redox-sensitive_transcriptional_activator_SoxR:cds-WP_002885077.1:-:458:NZ_KK737551.1	91	49	85	96	68	113	14	40	29	193	234	322
CDS:AF52_RS01065:soxS:superoxide_response_transcriptional_regulator_SoxS:cds-WP_004151738.1:+:329:NZ_KK737551.1	1103	483	677	1896	984	2208	171	220	191	16778	15769	22718
CDS:AF52_RS01060:-:EAL_domain-containing_protein:cds-WP_023283136.1:-:1604:NZ_KK737551.1	360	293	278	643	346	654	30	60	31	535	522	548
CDS:AF52_RS01055:-:YjcB_family_protein:cds-WP_004177826.1:+:281:NZ_KK737551.1	1001	480	816	815	533	862	327	621	498	1218	1202	1590
CDS:AF52_RS01050:-:ABC_transporter_permease_subunit:cds-WP_004186517.1:-:857:NZ_KK737551.1	34	3	36	26	16	28	1	9	18	80	44	23
CDS:AF52_RS01045:-:ABC_transporter_permease_subunit:cds-WP_004177833.1:-:833:NZ_KK737551.1	91	24	28	47	27	100	0	0	6	145	127	114
CDS:AF52_RS01040:-:extracellular_solute-binding_protein:cds-WP_004177835.1:-:1139:NZ_KK737551.1	19	10	36	33	25	53	35	0	4	33	70	83
CDS:AF52_RS01035:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-80:-:968:NZ_KK737551.1	285	129	143	215	82	164	121	166	145	295	215	398
CDS:AF52_RS01030:-:hypothetical_protein:cds-AF52_RS01030:-:557:NZ_KK737551.1	77	83	60	34	18	27	8	46	38	100	180	203
CDS:AF52_RS01025:-:colicin_V_synthesis_protein:cds-AF52_RS01025:-:536:NZ_KK737551.1	8	0	6	0	1	15	6	3	0	16	7	12
CDS:AF52_RS0124720:-:HlyD_family_secretion_protein:cds-AF52_RS0124720:-:467:NZ_KK737551.1	3	6	6	0	1	0	0	1	0	14	14	24
CDS:AF52_RS01020:-:hypothetical_protein:cds-AF52_RS01020:-:311:NZ_KK737551.1	8	3	10	8	12	15	1	1	8	49	54	25
CDS:AF52_RS26200:-:IS5/IS1182_family_transposase:cds-AF52_RS26200:+:177:NZ_KK737551.1	79	17	46	69	41	62	42	40	69	144	108	166
CDS:AF52_RS01015:-:biotin/lipoyl-binding_protein:cds-AF52_RS01015:-:827:NZ_KK737551.1	24	18	34	8	7	22	28	40	7	62	73	182
CDS:AF52_RS01010:-:winged_helix-turn-helix_domain-containing_protein:cds-AF52_RS01010:+:329:NZ_KK737551.1	26	14	8	11	13	11	78	37	59	73	41	87
CDS:AF52_RS27655:-:IS5/IS1182_family_transposase:cds-AF52_RS27655:+:151:NZ_KK737551.1	59	22	34	51	19	48	48	38	32	122	89	136
